Question,options_a,options_b,options_c,options_d,correct_answer,category,points
"Who is considered the ""King of Clay"" in tennis?",Roger Federer,Novak Djokovic,Rafael Nadal,Andy Murray,Rafael Nadal,sports,10
 In which sport would you perform a slam dunk?,Soccer,Basketball,Golf,Table Tennis,Basketball,sports,10
Which country won the FIFA World Cup in 2018?,Brazil,Germany,France,Argentina,France,sports,10
How many players are there on a standard soccer (football) team on the field during a match?,8,10,11,12,11,sports,10
Who holds the record for the most Olympic gold medals in swimming?,Michael Phelps,Ian Thorpe,Ryan Lochte,Mark Spitz,Michael Phelps,sports,5
Which Grand Slam tennis tournament is played on grass courts?,Australian Open,Wimbledon,French Open, US Open,Wimbledon,sports,5
"In which sport would you find the terms ""strike,"" ""spare,"" and ""split""?",Golf,Bowling,Tennis,Badminton,Bowling,sports,5
"Who is known as the ""Fastest Man on Earth""?",Usain Bolt, Carl Lewis,Justin Gatlin,Asafa Powell,Usain Bolt,sports,2
Which NBA team does LeBron James currently play for (as of 2022)?,Los Angeles Lakers,Miami Heat,Cleveland Cavaliers,Golden State Warriors,Los Angeles Lakers,sports,2
 Which country hosted the 2016 Summer Olympics?,China,Brazil,Russia,United States,Brazil,sports,2
